epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,279.426,0.62806,0.42669,0.00093,0.97025,0.9782,0.99184,0.91633,0.44199,0.34829,0.0011,0.000827187,0.000827187,0.000827187
43,285.815,0.60156,0.38512,0.00088,0.97558,0.97977,0.99141,0.92801,0.38503,0.32191,0.00094,0.000816875,0.000816875,0.000816875
44,292.146,0.61187,0.3808,0.00089,0.97817,0.9782,0.99208,0.93124,0.54101,0.3408,0.00128,0.000806562,0.000806562,0.000806562
45,298.449,0.62049,0.39052,0.00088,0.97555,0.97862,0.9927,0.91492,0.46016,0.35039,0.00114,0.00079625,0.00079625,0.00079625
46,304.823,0.58679,0.35913,0.00089,0.97808,0.97285,0.99192,0.91988,0.41259,0.32759,0.00099,0.000785938,0.000785938,0.000785938
47,311.227,0.56731,0.35935,0.00081,0.97291,0.97873,0.99238,0.93052,0.39441,0.31877,0.001,0.000775625,0.000775625,0.000775625
48,317.538,0.56908,0.36296,0.00086,0.97516,0.9782,0.99231,0.92982,0.44227,0.32973,0.00106,0.000765313,0.000765313,0.000765313
49,323.823,0.60567,0.36282,0.00088,0.97454,0.9782,0.99279,0.93595,0.54233,0.32904,0.00129,0.000755,0.000755,0.000755
50,330.168,0.58779,0.3605,0.00087,0.97538,0.97144,0.99256,0.92583,0.46337,0.31646,0.00111,0.000744688,0.000744688,0.000744688
51,336.532,0.58465,0.34128,0.0009,0.98045,0.97548,0.99292,0.92953,0.41961,0.31275,0.00101,0.000734375,0.000734375,0.000734375
52,342.875,0.54759,0.33557,0.00081,0.98022,0.9782,0.99306,0.93964,0.38376,0.28073,0.00093,0.000724062,0.000724062,0.000724062
53,349.224,0.54635,0.32372,0.00077,0.98089,0.97882,0.99304,0.94075,0.37812,0.27482,0.00095,0.00071375,0.00071375,0.00071375
54,355.5,0.55062,0.32924,0.0008,0.9835,0.97476,0.99284,0.9301,0.45201,0.27643,0.00114,0.000703437,0.000703437,0.000703437
55,361.823,0.54741,0.32409,0.0008,0.96767,0.98093,0.99199,0.9376,0.3844,0.28043,0.00095,0.000693125,0.000693125,0.000693125
56,368.043,0.5671,0.33036,0.00081,0.96938,0.98093,0.99051,0.93219,0.41833,0.29848,0.00105,0.000682813,0.000682813,0.000682813
57,374.416,0.57494,0.32491,0.00081,0.97406,0.98093,0.99213,0.9322,0.49894,0.30354,0.00127,0.0006725,0.0006725,0.0006725
58,380.727,0.5905,0.32509,0.00086,0.97552,0.97729,0.9923,0.93849,0.40112,0.28651,0.00099,0.000662188,0.000662188,0.000662188
59,387.085,0.54766,0.32359,0.00081,0.97133,0.9782,0.99219,0.92874,0.40072,0.27604,0.00103,0.000651875,0.000651875,0.000651875
60,393.39,0.57202,0.33168,0.00085,0.98081,0.97507,0.99235,0.93191,0.45215,0.28191,0.00112,0.000641562,0.000641562,0.000641562
61,399.604,0.51997,0.29297,0.00075,0.98076,0.97213,0.99151,0.93447,0.36329,0.3203,0.00091,0.00063125,0.00063125,0.00063125
62,406.206,0.5676,0.3178,0.00082,0.97294,0.97275,0.99191,0.93518,0.38836,0.33358,0.00095,0.000620938,0.000620938,0.000620938
63,412.581,0.57117,0.30695,0.00085,0.96771,0.97982,0.99097,0.93636,0.45643,0.3423,0.00109,0.000610625,0.000610625,0.000610625
64,418.855,0.52318,0.2881,0.00077,0.97549,0.98093,0.99169,0.93623,0.40714,0.31442,0.00102,0.000600313,0.000600313,0.000600313
65,425.062,0.5443,0.29188,0.00081,0.97735,0.9782,0.99233,0.94088,0.39583,0.29714,0.00096,0.00059,0.00059,0.00059
66,431.975,0.50235,0.30239,0.00072,0.98048,0.97003,0.99256,0.94021,0.46093,0.28831,0.00111,0.000579688,0.000579688,0.000579688
67,438.844,0.5524,0.29354,0.00081,0.97282,0.97537,0.98933,0.93391,0.46887,0.29466,0.00114,0.000569375,0.000569375,0.000569375
68,445.442,0.50428,0.28362,0.00074,0.97547,0.97505,0.99264,0.93615,0.38752,0.2655,0.00097,0.000559062,0.000559062,0.000559062
69,451.927,0.55922,0.30136,0.00078,0.97812,0.97431,0.99196,0.93416,0.3847,0.27224,0.00096,0.00054875,0.00054875,0.00054875
70,458.373,0.50064,0.27156,0.00073,0.97813,0.97476,0.99111,0.9324,0.37329,0.27238,0.00092,0.000538438,0.000538438,0.000538438
71,464.841,0.51985,0.27906,0.00078,0.97166,0.9782,0.99067,0.93675,0.48359,0.29704,0.0012,0.000528125,0.000528125,0.000528125
72,471.293,0.51939,0.2799,0.00077,0.98464,0.96458,0.99074,0.93499,0.44586,0.29165,0.00112,0.000517813,0.000517813,0.000517813
73,477.626,0.49092,0.26846,0.00074,0.98194,0.97003,0.99312,0.94087,0.38475,0.25449,0.00097,0.0005075,0.0005075,0.0005075
74,483.87,0.52982,0.28147,0.00076,0.98457,0.97275,0.99319,0.94223,0.36674,0.25394,0.0009,0.000497188,0.000497188,0.000497188
75,490.132,0.49221,0.25591,0.00072,0.98617,0.9717,0.99276,0.9429,0.38863,0.28072,0.00099,0.000486875,0.000486875,0.000486875
76,496.605,0.48422,0.28195,0.00069,0.98075,0.97275,0.9892,0.94088,0.39846,0.29698,0.00099,0.000476562,0.000476562,0.000476562
77,502.764,0.49335,0.25247,0.00068,0.97907,0.97275,0.98969,0.93638,0.38999,0.29091,0.00098,0.00046625,0.00046625,0.00046625
78,508.986,0.45657,0.25031,0.00067,0.97812,0.97452,0.9832,0.93577,0.38525,0.28315,0.00094,0.000455937,0.000455937,0.000455937
79,515.06,0.50929,0.25725,0.00073,0.97281,0.97503,0.98846,0.9385,0.40651,0.26577,0.00101,0.000445625,0.000445625,0.000445625
80,521.164,0.51452,0.26824,0.00076,0.98661,0.96458,0.99031,0.94075,0.39871,0.26025,0.00099,0.000435312,0.000435312,0.000435312
81,527.593,0.52135,0.27193,0.00072,0.98342,0.96994,0.99061,0.94021,0.38328,0.24944,0.00095,0.000425,0.000425,0.000425
82,533.783,0.48693,0.25826,0.00071,0.98007,0.97275,0.99135,0.93037,0.41589,0.28733,0.001,0.000414688,0.000414688,0.000414688
83,540.006,0.47644,0.24543,0.00072,0.98006,0.97275,0.99165,0.94349,0.43577,0.28539,0.00104,0.000404375,0.000404375,0.000404375
84,546.225,0.4794,0.25477,0.00067,0.98031,0.97275,0.99205,0.94411,0.37758,0.2657,0.00094,0.000394063,0.000394063,0.000394063
85,552.48,0.47812,0.27158,0.00072,0.97945,0.97003,0.99177,0.94495,0.42407,0.2733,0.00102,0.00038375,0.00038375,0.00038375
86,558.924,0.46508,0.26609,0.00068,0.97547,0.97501,0.99125,0.93658,0.34574,0.25858,0.00087,0.000373437,0.000373437,0.000373437
87,565.122,0.46111,0.25127,0.00067,0.97547,0.97507,0.98917,0.94133,0.3581,0.26557,0.0009,0.000363125,0.000363125,0.000363125
88,571.57,0.47989,0.25508,0.00067,0.97533,0.97548,0.98378,0.94111,0.38063,0.2662,0.00095,0.000352812,0.000352812,0.000352812
89,577.921,0.44585,0.22897,0.00064,0.97542,0.97329,0.98926,0.93789,0.35615,0.26344,0.00088,0.0003425,0.0003425,0.0003425
90,584.234,0.46992,0.25505,0.00067,0.98079,0.97402,0.99251,0.94665,0.37719,0.26147,0.00093,0.000332187,0.000332187,0.000332187
91,590.697,0.4948,0.25122,0.00072,0.98207,0.97548,0.99238,0.94114,0.37851,0.25872,0.00094,0.000321875,0.000321875,0.000321875
92,597.001,0.47068,0.24324,0.00068,0.98333,0.97548,0.99237,0.9425,0.36236,0.27501,0.0009,0.000311563,0.000311563,0.000311563
93,603.333,0.47186,0.23948,0.00066,0.98352,0.97542,0.9926,0.94648,0.34021,0.26922,0.00083,0.00030125,0.00030125,0.00030125
94,609.669,0.45433,0.23771,0.00065,0.97766,0.97548,0.99198,0.94748,0.33875,0.26939,0.00084,0.000290937,0.000290937,0.000290937
95,616.066,0.48325,0.23982,0.00068,0.97477,0.97548,0.99104,0.94386,0.36301,0.26639,0.00089,0.000280625,0.000280625,0.000280625
96,622.499,0.45898,0.24349,0.00067,0.9779,0.97548,0.99061,0.9446,0.33135,0.25935,0.00082,0.000270313,0.000270313,0.000270313
97,628.854,0.49266,0.24798,0.00069,0.98092,0.97003,0.99115,0.94495,0.35598,0.27079,0.00088,0.00026,0.00026,0.00026
98,635.197,0.45474,0.23431,0.00067,0.98614,0.96916,0.99194,0.94888,0.33665,0.26418,0.00084,0.000249687,0.000249687,0.000249687
99,641.621,0.43478,0.21924,0.00064,0.97822,0.97003,0.99136,0.94608,0.34173,0.2699,0.00086,0.000239375,0.000239375,0.000239375
100,648.207,0.4643,0.24589,0.00065,0.98058,0.97548,0.99031,0.94462,0.33126,0.26134,0.00082,0.000229063,0.000229063,0.000229063
101,654.563,0.46254,0.23944,0.00066,0.97452,0.97548,0.99157,0.94426,0.38735,0.27542,0.00097,0.00021875,0.00021875,0.00021875
102,660.777,0.45601,0.23629,0.00064,0.97437,0.97548,0.99194,0.94362,0.34025,0.26953,0.00085,0.000208438,0.000208438,0.000208438
103,667.04,0.44011,0.21547,0.00064,0.97544,0.97405,0.99195,0.94597,0.34646,0.27769,0.00085,0.000198125,0.000198125,0.000198125
104,673.267,0.44771,0.23826,0.00063,0.98445,0.9673,0.9918,0.94486,0.34578,0.27079,0.00087,0.000187813,0.000187813,0.000187813
105,679.683,0.44575,0.23524,0.00062,0.98608,0.96543,0.99139,0.94848,0.3465,0.2701,0.00087,0.0001775,0.0001775,0.0001775
106,685.9,0.44625,0.235,0.00067,0.97745,0.97548,0.99049,0.94485,0.33411,0.27379,0.00084,0.000167188,0.000167188,0.000167188
107,692.175,0.45047,0.22576,0.00065,0.98249,0.9673,0.99106,0.9467,0.33116,0.2606,0.00082,0.000156875,0.000156875,0.000156875
108,698.367,0.41897,0.21915,0.00061,0.9834,0.96851,0.99117,0.94794,0.33331,0.26801,0.00084,0.000146562,0.000146562,0.000146562
109,704.631,0.43146,0.22155,0.00059,0.98802,0.97003,0.99161,0.94767,0.34302,0.27065,0.00086,0.00013625,0.00013625,0.00013625
110,711.154,0.46809,0.23436,0.00063,0.98377,0.97003,0.99141,0.95071,0.31785,0.26353,0.0008,0.000125938,0.000125938,0.000125938
111,737.193,0.43512,0.23455,0.00071,0.97066,0.97548,0.98854,0.93987,0.35295,0.26811,0.00088,0.000115625,0.000115625,0.000115625
112,743.742,0.44233,0.21509,0.00069,0.97282,0.97517,0.98992,0.93179,0.39289,0.2792,0.00096,0.000105312,0.000105312,0.000105312
113,750.062,0.41436,0.20813,0.00069,0.97532,0.96925,0.99137,0.93696,0.35777,0.27531,0.00088,9.5e-05,9.5e-05,9.5e-05
114,756.113,0.43689,0.22351,0.00069,0.97504,0.9673,0.99178,0.93546,0.36311,0.27312,0.0009,8.46875e-05,8.46875e-05,8.46875e-05
115,762.273,0.40338,0.21611,0.00065,0.97455,0.97275,0.99183,0.93756,0.36823,0.26878,0.00091,7.4375e-05,7.4375e-05,7.4375e-05
116,768.481,0.46166,0.22346,0.00072,0.97791,0.96516,0.99211,0.93886,0.3894,0.27069,0.00096,6.40625e-05,6.40625e-05,6.40625e-05
117,774.665,0.42306,0.2182,0.00066,0.97793,0.96598,0.9919,0.93941,0.36666,0.26593,0.00091,5.375e-05,5.375e-05,5.375e-05
118,780.821,0.42178,0.20647,0.00067,0.97773,0.97003,0.99146,0.93932,0.36188,0.26769,0.00089,4.34375e-05,4.34375e-05,4.34375e-05
119,787.174,0.40789,0.20075,0.00067,0.97537,0.97134,0.991,0.94027,0.35802,0.26416,0.00089,3.3125e-05,3.3125e-05,3.3125e-05
120,793.417,0.42005,0.21013,0.00066,0.97538,0.97165,0.99095,0.93729,0.3577,0.26343,0.0009,2.28125e-05,2.28125e-05,2.28125e-05
